"2022-12-29T02:57:02Z","2023-08-15T21:22:27Z",3563,"Support for `runInterruptible` in Kotlin/Native (POSIX) targets","https://github.com/Kotlin/kotlinx.coroutines/issues/3563","CLOSED","enhancement"
"2022-11-08T13:46:06Z",,3522,"Ability to obtain the current coroutine context in arbitrary code","https://github.com/Kotlin/kotlinx.coroutines/issues/3522","OPEN","enhancement"
"2022-10-27T21:04:05Z",,3505,"`invokeOnCompletion` doesn't provide thread guarantees and doesn't allow to suspend","https://github.com/Kotlin/kotlinx.coroutines/issues/3505","OPEN","enhancement"
"2022-09-28T11:20:52Z",,3467,"CloseableCoroutineDispatcher should not be a type alias of ExecutorCoroutineDispatcher on JVM","https://github.com/Kotlin/kotlinx.coroutines/issues/3467","OPEN","enhancement"
"2022-09-07T14:44:24Z","2023-03-09T13:02:46Z",3442,"Return UnlimitedIoScheduler instance for Dispatchers.IO.limitedParallelism(Int.MAX_VALUE)","https://github.com/Kotlin/kotlinx.coroutines/issues/3442","CLOSED","enhancement"
"2022-09-05T15:54:55Z","2023-03-09T13:03:00Z",3439,"Internal API to retreive a single CPU-bound task from Dispatchers.Default","https://github.com/Kotlin/kotlinx.coroutines/issues/3439","CLOSED","enhancement"
"2022-09-02T04:35:42Z","2023-03-09T13:02:38Z",3432,"First use of `awaitFrame()` awaits extra draw frame when used with Main dispatcher","https://github.com/Kotlin/kotlinx.coroutines/issues/3432","CLOSED","enhancement"
"2022-08-25T11:39:21Z",,3428,"Impossible to attach coroutine context to CompletableJob","https://github.com/Kotlin/kotlinx.coroutines/issues/3428","OPEN","enhancement"
"2022-08-25T11:26:02Z",,3426,"launch creates another child job","https://github.com/Kotlin/kotlinx.coroutines/issues/3426","OPEN","enhancement/structured concurrency"
"2022-08-25T10:57:44Z","2023-05-05T12:43:05Z",3425,"Add ability to create a child scope","https://github.com/Kotlin/kotlinx.coroutines/issues/3425","CLOSED","enhancement"
"2022-08-18T13:51:27Z",,3414,"withContext should copy CopyableThreadContextElement","https://github.com/Kotlin/kotlinx.coroutines/issues/3414","OPEN","enhancement/design"
